DATE,OVERALL CPI,OVERALL RATE OF INFLATION
Jan-2014,145.4,7.21
Feb-2014,145.95,6.86
Mar-2014,146.61,6.27
Apr-2014,148.2,6.41
May-2014,149.7,7.3
Jun-2014,149.91,7.39
Jul-2014,150.6,7.67
Aug-2014,152.02,8.36
Sep-2014,152.24,6.6
Oct-2014,151.92,6.43
Nov-2014,151.85,6.09
Dec-2014,152.51,6.02
Jan-2015,153.43,5.53
Feb-2015,154.14,5.61
Mar-2015,155.86,6.31
Apr-2015,158.7,7.08
May-2015,159.98,6.87
Jun-2015,160.46,7.03
Jul-2015,160.57,6.62
Aug-2015,160.9,5.84
Sep-2015,161.33,5.97
Oct-2015,162.13,6.72
Nov-2015,162.97,7.32
Dec-2015,164.72,8.01
Jan-2016,165.37,7.78
Feb-2016,165.06,7.09
Mar-2016,165.92,6.45
Apr-2016,167.07,5.27
May-2016,167.99,5
Jun-2016,169.76,5.8
Jul-2016,170.84,6.39
Aug-2016,170.97,6.26
Sep-2016,171.56,6.34
Oct-2016,172.62,6.47
Nov-2016,173.85,6.68
Dec-2016,175.18,6.35
Jan-2017,176.93,6.99
Feb-2017,179.98,9.04
Mar 2017,182.98,10.28
Apr 2017,186.24,11.48
May 2017,187.64,11.7
Jun 2017,185.39,9.21
Jul 2017,183.6,7.47
Aug 2017,184.72,8.04
Sep 2017,183.66,7.06
Oct 2017,182.5,5.72
Nov 2017,182.08,4.73
Dec 2017,183.05,4.5
Jan 2018,185.47,4.83
Feb 2018,188,4.46
Mar 2018,190.62,4.18
Apr 2018,193.18,3.73
May 2018,195.05,3.95
June 2018,193.31,4.28
Jul 2018,191.59,4.35
Aug 2018,192.18,4.04
Sep 2018,194.14,5.7
Oct 2018,192.6,5.53
Nov 2018,192.25,5.58
Dec 2018,193.51,5.71
Jan 2019,194.18,4.7
Feb 2019,195.78,4.14
Mar 2019,198.91,4.35
Apr 2019,205.9,6.58
May 2019,205.77,5.49
June 2019,204.34,5.7
July 2019,203.61,6.27
Aug 2019,201.78,5
Sep 2019,201.57,3.83
Oct 2019,202.12,4.95
Nov 2019,202.94,5.56
Dec 2019,204.77,5.82
Jan 2020,205.4,5.78
Feb 2020,107.174,7.17
March 2020,107.475,5.84
April 2020,108.495,6.01
May 2020,108.602,5.33
June 2020,108.266,4.59
July 2020,108.354,4.36
August 2020,108.573,4.36
Sep 2020,108.571,4.2
Oct 2020,109.604,4.84
Nov 2020,110.779,5.33
Dec 2020,111.866,5.62
Jan 2021,112.576,5.69
Feb 2021,113.365,5.78
Mar 2021,113.814,5.9
Apr 2021,114.746,5.76
May 2021,114.977,5.87
June 2021,115.11,6.32
July 2021,115.446,6.55
Aug 2021,115.71,6.57
Sep 2021,116.077,6.91
Oct 2021,116.674,6.45
Nov 2021,117.203,5.8
Dec 2021,118.274,5.73
Jan 2022,118.64,5.4
Feb 2022,119.13,5.1
Mar 2022,120.14,5.6
Apr 2022,122.17,6.5
May 2022,123.12,7.1
June 2022,124.22,7.9
July 2022,125.05,8.3
Aug 2022,125.58,8.5
Sep 2022,126.73,9.2
Oct 2022,127.86,9.6
Nov 2022,128.31,9.5
Dec 2022,128.99,9.1
Jan 2023,129.29,9
Feb 2023,130.13,9.2
Mar 2023,131.18,9.2
Apr 2023,131.83,7.9
May 2023,133.01,8
June 2023,134.01,7.9
July 2023,134.15,7.3
Aug 2023,134.02,6.7
Sep 2023,135.32,6.8
Oct 2023,136.71,6.9
Nov 2023,137.03,6.8
Dec 2023,137.55,6.6
Jan 2024,138.15,6.9
Feb 2024,138.34,6.3
Mar 2024,138.66,5.7
Apr 2024,138.4,5
May 2024,139.64,5
June 2024,140.23,4.6
July 2024,139.94,4.3
Aug 2024,139.87,4.4
Sep 2024,140.13,3.6
Oct 2024,140.44,2.7
Nov 2024,140.81,2.8
Dec 2024,141.66,3